timestamp,bubble_present,area,center_x,center_y,mean_R,mean_G,mean_B,mean_H,mean_S,mean_V
1756396073.0023143,0,0,,,,,,,,
1756396078.0257766,0,0,,,,,,,,
1756396083.0338156,0,0,,,,,,,,
1756396088.0397108,0,0,,,,,,,,
1756396093.0431955,0,0,,,,,,,,
1756396098.0492358,1,763,324,285,32.8,105.6,154.8,102.1,201.0,154.8
1756396103.0629578,1,1870,295,289,27.1,96.4,146.2,102.6,207.8,146.2
1756396108.0709481,1,2056,360,283,30.1,103.8,156.1,102.5,205.9,156.1
1756396113.0789042,1,771,438,272,35.3,111.1,166.2,102.8,200.8,166.2
1756396118.084814,0,0,,,,,,,,
1756396123.0894666,0,0,,,,,,,,
1756396128.0947363,0,0,,,,,,,,
